0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0.09435432,0.6901964,0.21544924
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0.08224221,0.71620727,0.20155048
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0.06893805,0.7468069,0.18425503
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0.06670294,0.7523233,0.18097374
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,0.07519977,0.73218155,0.19261868
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",0.06845772,0.74895626,0.18258601
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0.07482054,0.7339568,0.19122265
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0.06966663,0.74329823,0.18703516
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,0.06052884,0.76694435,0.17252687
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",0.058358658,0.7720137,0.1696276
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0.07063278,0.74278194,0.18658528
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,0.062248148,0.7617428,0.176009
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",0.07103957,0.7424786,0.18648185
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,0.0630112,0.76057905,0.17640974
14,3,1,2,0,1,""" bitch get up off me """,0.052546844,0.78722167,0.16023152
15,3,0,3,0,1,""" bitch nigga miss me with it """,0.058745753,0.76968867,0.17156565
16,3,0,3,0,1,""" bitch plz whatever """,0.056991614,0.7746922,0.16831617
17,3,1,2,0,1,""" bitch who do you love """,0.05422027,0.7823621,0.16341764
